Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Daily meals frequency,Physical exercise,Carbs,Proteins,Fats,Calories,meal_name,meal_type,diet_type,sugar_g,sodium_mg,cholesterol_mg,serving_size_g,cooking_method,prep_time_min,cook_time_min,rating,is_healthy,Name of Exercise,Sets,Reps,Benefit,Burns Calories (per 30 min),Target Muscle Group,Equipment Needed,Difficulty Level,Body Part,Type of Muscle,Workout
21.82,Male,72.64,1.62,183.1,122.86,58.94,1.37,1662.22,HIIT,29.21645154,2.11,2.99,1.03,27.68,3.97,0.03,212.57,86.11,56.92,1835,Wall Wrap,Dinner,Keto,18.62,1543.19,0.38,217.82,Baked,45.92,61.69,4.01,1,Burpees,4.98,23.85,Improves balance and leg strength,355.36,"Legs, Core",Kettlebell,Advanced,Shoulders,Lower,Seated calf raises
50.97,Male,58.73,1.65,198.03,152.71,53.02,1.22,1609.06,HIIT,22.99201378,2.32,3.03,1.99,21.57,2.98,0.01,222.86,89.01,58.88,1450,Executive Pasta,Snack,Balanced,11.57,871.61,134.56,383.81,Fried,47.33,73.82,1.9,0,Dead Bugs,3.99,15.1,Strengthens back and legs,339.98,Quadriceps,Bench or Chair,Beginner,Abs,Upper,Seated calf raises
51.8,Female,85.94,1.74,181.74,144.8,56.34,1.83,2136.16,Strength,27.0341896,3.48,4.03,2.97,28.39,3.01,-0.02,254.75,101.68,67.82,2243,Attorney Salad,Lunch,Keto,5.88,852.84,287.79,369.69,Steamed,35.94,53.83,2.1,0,Pull-ups,4.99,24.06,Builds unilateral leg strength and balance,339.22,"Triceps, Chest","Bench, Barbell",Advanced,Arms,Triceps,Hyperextensions
24.14,Female,88.25,1.79,176.87,154.13,65.01,1.76,1830.4,Cardio,29.7669104,3.49,4.02,3,27.54,2.99,-0.01,172.28,69.36,45.84,2360,Owner Pasta,Lunch,Low-Carb,0.46,292.11,187.4,124.82,Baked,46.25,15.35,2.79,0,Face Pulls,4,24,Enhances full-body coordination and stability,348.82,"Core, Shoulders, Legs",Step or Box,Beginner,Legs,Upper,Barbell curls
25.9,Male,72.75,1.67,163,120.9,50.01,1.38,1368.68,Strength,29.58852834,1.9,1.98,1.02,26.09,2.03,0.97,183.67,74.32,49.09,1858,Television Sandwich,Lunch,Paleo,34.21,338.94,242.53,395.57,Raw,49.7,83.97,3.74,0,Incline Push-ups,5.02,14.94,Builds lower body power and endurance,350.57,Quadriceps,Pull-up Bar,Advanced,Chest,Lower,Dumbbell curls
58.93,Male,122.14,1.89,178.13,153.09,50.87,0.66,436,Yoga,30.09163983,3.09,2.98,1.01,34.19,1.98,0,177.22,70.44,47.21,3103,Way Sandwich,Dinner,Vegan,47.76,1961.12,225.24,363.87,Boiled,48.43,57.61,2.79,0,Frog Jumps,5,20.93,Builds lower body power and endurance,340.82,"Quadriceps, Glutes",Dumbbells,Beginner,Abs,Posterior,Leg curls
54.08,Male,78.45,1.9,174.34,145.61,71.93,0.81,979.21,HIIT,29.46201122,3.71,2.01,1,21.73,4.01,4.02,388.59,154.97,104.08,2033,Interesting Rice,Dinner,Vegetarian,37.63,1386.25,148.36,437.87,Raw,22.6,66.85,3.52,0,Zottman Curls,4.97,17.95,Full body workout,365.42,"Legs, Shoulders, Core",Resistance Band,Beginner,Back,Posterior,Dumbbell front raises
27.28,Female,104.03,1.68,162.02,134.61,62.03,1.28,1378.94,Strength,34.95444551,3.51,3,1.97,36.86,3.99,1.98,304.21,121.84,80.96,2769,Stay Pasta,Dinner,Vegan,46.5,867.47,255.64,297.02,Steamed,17.64,22.12,2.18,0,Kettlebell Swings,4,14.97,Builds lower body power and endurance,351.07,"Core, Lower Back",None or Dumbbells,Intermediate,Back,Anterior,Seated cable rows
32.24,Male,62.35,1.63,190.14,160.96,57.98,1.68,1967.11,Strength,25.67081364,2.71,5.01,3.01,23.47,3.02,-0.01,219.01,86.88,58.64,1648,Exist Salad,Dinner,Keto,35.68,1452.35,160.29,316.61,Grilled,4.66,45.63,3.01,0,Kettlebell Swings,4.01,19.06,Advanced core exercise,330.35,"Legs, Core",Wall,Intermediate,Forearms,Lats,Barbell squats
43.03,Female,83.14,1.95,180.63,159.39,69.91,1.9,2224.71,Strength,21.37268837,3.51,5.01,3.01,21.86,4.01,0.01,279.99,111.62,74.86,2389,Skin Pasta,Breakfast,Vegetarian,40.71,2456,100.61,167.08,Raw,56.64,41.43,1.52,0.01,Push Ups,4,20.99,Targets abdominal muscles,339.69,"Shoulders, Triceps",Cable Machine,Advanced,Chest,Grip Strength,Crunches
35.87,Female,122.01,1.93,195.23,131.84,53.91,1.49,1431.59,Cardio,32.08692893,3.41,2.99,2.01,32.76,2.99,-0.02,207.9,83.04,54.91,3255,Beyond Stew,Dinner,Keto,35.09,334.31,133.72,160.16,Steamed,12.58,85.7,1.65,0,Jumping Jacks,4.01,22.89,Combines lower body and upper body strength,376.19,Calves,Resistance Band,Advanced,Arms,Lower Chest,Plank
19.08,Female,49.09,1.52,186,136.44,56.26,0.96,1162.66,HIIT,25.84282956,1.59,1.97,1.01,21.25,3.02,0,178.76,70.78,46.84,1279,Receive Pasta,Breakfast,Vegetarian,9.47,2042.75,169.09,241.26,Raw,19.94,65.19,4.25,0.01,Box Jumps,4,14.95,Improves shoulder mobility and posture,364.88,Calves,Pull-up Bar,Intermediate,Forearms,Lower Chest,Triceps pushdowns
58.94,Male,76.19,1.77,167.17,127.85,52.99,1.47,1453.98,Strength,27.08812743,1.8,3,1,24.32,3,0.01,301.84,120.82,80.07,1966,Article Wrap,Dinner,Vegan,10.95,1937.88,266.87,370.23,Boiled,26,22.69,1.57,-0.01,Pull-ups,4.99,14.97,Strengthens shoulders,357.85,"Shoulders, Triceps",Low Bar or TRX,Advanced,Arms,Lats,Bird dog
36.55,Male,104.1,1.89,175.2,168.02,57.2,0.54,653.99,HIIT,25.10733166,3.09,2.01,1.01,29.14,1.98,1.01,286.24,113.79,76.07,2728,Tonight Curry,Snack,Paleo,27.78,423.79,0.38,205.8,Baked,38.39,104.62,4.64,-0.01,Pull-ups,5,18.06,Improves coordination and cardiovascular health,367.34,Core,None or Dumbbell,Intermediate,Legs,Triceps,Bent-over rows
42.21,Male,50.36,1.65,176.92,149.91,61.94,0.64,564.22,Cardio,20.57161199,2.41,3,1.02,18.5,3.03,-0.01,207,82.68,55.48,1422,Current Curry,Breakfast,Balanced,33.89,2214.11,61.53,109.07,Grilled,45.88,8.55,1.1,-0.01,Russian Twists,4,21,Improves core stability and upper body strength,364.68,"Chest, Triceps, Shoulders",Cable Machine or Resistance Band,Beginner,Abs,Posterior,Close-grip bench press
22.3,Male,107.07,1.82,170.07,129.91,50.06,1,958.4,Cardio,29.82400174,2.3,4.02,1.98,32.32,2,-0.01,205.4,82.4,54.28,2785,Network Wrap,Breakfast,Low-Carb,3.41,2341.01,8,409.83,Fried,37.87,103.68,2.29,0,Leg Press,4.01,15.99,Improves cardiovascular fitness,373.5,"Upper Back, Rear Deltoids",Bench or Sturdy Surface,Intermediate,Forearms,Quads,Wrist curl
29.02,Female,56.09,1.61,177.07,127.7,50.73,1.41,1709.2,HIIT,24.17142669,2.31,2.96,1.02,21.64,3.01,-0.04,273.42,107.19,72.26,1510,Challenge Sandwich,Lunch,Keto,33.6,2184.29,32.13,119.75,Fried,51.07,105.83,1.11,0,Zottman Curls,4.01,22.13,Builds back strength,367.36,"Shoulders, Triceps","Bench, Barbell",Beginner,Chest,Grip Strength,Close-grip bench press
55.63,Male,118.16,1.9,199,126.64,67.98,0.66,653.99,Strength,31.3447688,3.21,2.01,1.01,32.73,2,0.01,204.42,83.46,55.55,2865,Sing Salad,Lunch,Paleo,42.51,1002.58,8.55,469.21,Roasted,21.05,53.09,3.85,0,Bicep Curls,5.02,21.1,Builds explosive power,353.23,"Back, Biceps",Cable Machine or Resistance Band,Intermediate,Shoulders,Wrist Extensors,Incline dumbbell flyes
58.07,Male,109.33,1.75,180.78,167.7,53.89,1.01,1222.1,HIIT,31.373241,2.71,2,1,35.7,3.02,3.98,402.28,160.34,107.07,3050,Box Sandwich,Breakfast,Vegetarian,16.79,2221.53,217.87,318.67,Steamed,16.48,83.77,3.32,0,Russian Twists,5,21.1,Builds explosive power,375.59,"Core, Shoulders, Legs",None or Dumbbell,Intermediate,Abs,Triceps,Close-grip bench press
21.51,Male,71.7,1.77,197.03,158.04,56.12,1.5,1321.2,Cardio,25.3915145,1.81,2.99,1.01,22.89,1.98,-0.01,243.68,97.94,65.25,1995,College Pasta,Snack,Keto,7.04,811.36,244.33,202.63,Steamed,11.18,44.87,1.19,0,Lat Pulldowns,4,19.01,Builds chest strength,341.05,"Triceps, Chest",Pull-up Bar,Advanced,Arms,Lower Chest,Standing calf raises
19,Female,56.84,1.87,178.18,138.36,69.98,0.61,602.8,Strength,23.03608941,3.7,3,1,16.25,2.97,1,277.37,110.8,73.66,1595,Green Wrap,Breakfast,Vegetarian,41.51,1812.91,164.12,340.1,Baked,38.83,23.18,3.46,0,Kettlebell Swings,4.02,19.07,Improves hip power and cardiovascular fitness,333.95,"Triceps, Chest",Bench or Step,Advanced,Shoulders,Middle,Dumbbell flyes
30.26,Female,78.19,1.77,165.86,130.36,62.15,1.41,1354.73,Cardio,26.23037336,2.59,4,2.01,24.96,3.99,0.01,283.85,113.49,76.19,2128,Along Curry,Breakfast,Balanced,34.23,1229.44,249.66,358.35,Baked,30.12,16.61,3.11,0.01,Lat Pulldowns,5.02,15.13,Improves shoulder mobility and posture,351.26,"Shoulders, Upper Back",Cable Machine or Resistance Band,Beginner,Abs,Lats,Hanging leg raises
20.08,Female,72.83,1.73,198.95,159.6,67.9,1.28,1692.42,HIIT,23.75824602,2.5,2.98,2.02,24.33,2.02,0.02,194.06,77.04,51.72,2108,Without Curry,Snack,Balanced,46.57,1489.46,284.94,267.75,Raw,12.29,59.21,2.49,0.01,Lunges,5,25,Strengthens lower abs,331.64,"Glutes, Hamstrings, Core",Cable Machine,Advanced,Forearms,Lateral,Lateral raises
40.6,Male,43.1,1.77,181.86,165.08,57.83,1.19,1048.15,Cardio,16.30529264,1.59,2.99,1.01,13.76,2,0.01,276.19,110.89,74.06,1268,Section Stew,Breakfast,Vegetarian,47.71,308.74,291.23,469.62,Steamed,15.86,80.39,1.82,0,Lat Pulldowns,3.01,12.01,Improves shoulder mobility and posture,165.19,"Core, Obliques",Low Bar or TRX,Advanced,Forearms,Grip Strength,Bent-over lateral raises
44.1,Male,59.21,1.52,176.8,136.18,56.05,1.58,1850.02,Strength,27.60340749,2.69,5.02,3.01,25.63,2.01,4.02,398.87,159.31,106.09,1936,Throw Curry,Breakfast,Balanced,31.95,2255.7,135.43,185.87,Boiled,50.09,68.51,3.74,0,Lat Pulldowns,5,20.1,Improves coordination and cardiovascular health,345.88,"Glutes, Hamstrings, Core",Bench or Step,Advanced,Arms,Lower,Plate pinch
56.05,Female,40.07,1.8,196.01,164.77,71.88,1.23,884.86,Yoga,16.39534833,2.1,4.01,1.99,12.37,4,0.01,221.62,88.57,58.56,1266,Ball Curry,Dinner,Keto,44.1,197.83,298.91,120.64,Steamed,44,46.83,1.65,0,Deadlifts,4.99,24.97,Improves core stability and balance,349.52,"Quadriceps, Hamstrings, Glutes",Barbell,Intermediate,Shoulders,Triceps,Barbell hip thrusts
50.01,Female,51.34,1.98,171.45,126.06,52.09,0.91,600.6,Yoga,15.95604046,2.41,2,1,13.1,2.01,0.01,176.1,69.3,46.94,1499,Issue Wrap,Snack,Vegetarian,9.34,2369.02,198.54,104.71,Baked,5.8,118.06,1.68,-0.01,Bicep Curls,4.01,19.84,Builds back strength,335.58,"Biceps, Forearms",None or Dumbbell,Intermediate,Abs,Lower,Face pulls
52.87,Male,57.08,1.59,198.92,163.91,64.85,1.48,1421.98,Cardio,22.22589659,2,3.03,2.01,22.58,2.99,-0.01,257.55,103.58,68.76,1687,Stuff Stew,Breakfast,Low-Carb,25.43,1511.49,119.5,153.76,Roasted,45.56,41.54,2.92,0.01,Thrusters,3.99,23.9,Improves shoulder health and posture,335.96,"Back, Core, Shoulders",Dumbbells or Barbell,Advanced,Shoulders,Lower,Chest flyes
51.96,Female,105.12,1.62,188.84,141.09,61.03,1.35,1190.16,Cardio,35,3.18,3.01,1.02,40.05,3.01,-0.03,267.3,107.84,71.73,2883,Themselves Sandwich,Dinner,Vegan,44.81,1132.46,185.67,452.06,Raw,17.72,61.94,2.83,0,Calf Raises,5.01,22.05,Builds shoulder width,347.67,"Quadriceps, Hamstrings, Glutes",Resistance Band or Cable Machine,Intermediate,Forearms,Lower,Hyperextensions
35.67,Female,121.76,1.93,194.89,132.15,54.12,1.49,1426.82,Cardio,27.12847009,3.4,3.03,1.97,32.69,2.97,0.04,207.78,82.31,54.72,3228,Foot Wrap,Breakfast,Balanced,35.12,328.41,135.88,161.6,Fried,12.88,84.85,1.6,0,Step-ups,4,22.94,Enhances full-body coordination and stability,375.33,"Quadriceps, Glutes",Bench or Step,Beginner,Legs,Lower Chest,Concentration curls
34.65,Male,101.53,1.76,193.08,121.07,64.07,0.85,748,Cardio,31.35941224,2.89,1.98,1,32.78,3,0.97,257.02,102.7,68.44,2773,Heart Stew,Dinner,Low-Carb,37.86,1556.27,156.58,127.61,Raw,7.25,112.56,3.28,0.01,Bicycle Crunches,4,15.91,Strengthens lower abs,337.7,"Triceps, Chest",Bench or Sturdy Surface,Intermediate,Abs,Triceps,Seated cable rows
44.87,Female,113.9,1.71,190.08,129.25,63.22,0.83,548.8,Yoga,35,2.28,1.99,1.02,38.95,3.02,0,210.82,84.41,56.12,3035,Store Pasta,Snack,Vegan,21.62,446.98,51,235.25,Raw,7.38,106.58,2.71,0.01,Prone Cobras,5.01,22.14,Targets lower chest,372.26,"Lower Chest, Triceps",Barbell,Beginner,Arms,Wrist Extensors,Preacher curls
44.05,Female,58.71,1.52,177.25,135.78,56.06,1.57,1226.48,Yoga,28.11788047,2.69,4.97,3.02,25.41,1.99,3.99,398.04,159.45,106.77,1728,Machine Wrap,Lunch,Paleo,32.13,2273.01,135.06,183.14,Grilled,49.81,66.74,3.7,0.01,Bicycle Crunches,4.98,19.84,Improves core stability,345.98,Core,None or Dumbbell,Advanced,Chest,Triceps,Hyperextensions
46.78,Female,86.62,1.64,177.36,164.98,49.78,2.01,2349.89,Strength,31.412627,3.51,4.01,2.99,32.21,2,0,231.95,92.63,61.77,2391,Decision Pasta,Lunch,Paleo,17.54,2435,221.47,228.55,Baked,14.33,91.7,2.27,1,Burpees,4.99,15.18,Builds unilateral leg strength and balance,344.84,Full Core,Parallel Bars or Chair,Advanced,Legs,Lower,Seated calf raises
23.09,Female,107.57,1.93,167.18,138.91,54.99,1.16,1251.76,Strength,29.32586884,3.11,3.99,1.99,28.88,3,2.03,302.85,121.77,81.48,2831,Official Stew,Dinner,Low-Carb,38.7,920.7,24.56,403.53,Grilled,49.48,68.26,4.39,0,Squats,4.98,15.93,Improves coordination and cardiovascular health,370.49,"Back, Hamstrings, Glutes",Cable Machine or Resistance Band,Beginner,Shoulders,Wrist Extensors,Barbell squats
26.99,Female,102.92,1.83,199.06,122.27,58.35,1.41,1013.51,Yoga,32.25536458,3.49,2.99,1.98,30.73,3,0,161.67,64.25,43.03,2674,Have Curry,Lunch,Vegan,43.92,2384.34,229.08,499.07,Baked,32.75,26.53,4.91,-0.01,Tricep Extensions,5,17.18,Builds upper body strength,346.28,"Glutes, Hamstrings",Cable Machine,Intermediate,Arms,Triceps,Hanging leg raises
19.93,Female,74.99,1.75,183.79,121.21,72.84,1.32,1266.14,Cardio,24.17073347,3.31,3.02,1.99,24.49,3.01,0,313.58,124.76,83.23,2046,Affect Stew,Dinner,Keto,29.7,343.16,202.55,264.94,Roasted,22.67,67.57,3.66,0,Turkish Get-ups,4.01,18.96,Builds lower body power,357.31,"Quadriceps, Glutes",Wall,Beginner,Chest,Lats,Hammer curls
50.21,Female,52.75,1.84,195.22,124.01,52.04,1.38,1486.67,Strength,17.33303119,3.11,4,1.97,15.58,3.01,-0.01,169.5,67.92,45.19,1588,Return Curry,Dinner,Paleo,41.37,2294.97,147.68,206.54,Steamed,57.1,8.75,2.22,0,Mountain Climbers,4.99,16,Enhances full-body coordination and stability,346.59,"Full Body, Core, Shoulders",Cable Machine or Resistance Band,Intermediate,Shoulders,Lateral,Lateral raises
30.93,Female,63.18,1.64,183.87,125.34,50.97,1.54,1203.05,Yoga,24.41413774,2.69,3.97,3.02,23.49,4.01,-0.01,267.3,105.99,70.45,1782,Realize Stew,Lunch,Vegan,15.95,2405.31,232.86,468.63,Grilled,25.29,25.26,1.62,0.01,Push-ups,3.98,25.04,Builds shoulder width,364.18,"Biceps, Forearms",Bench or Chair,Beginner,Arms,Lower,Bent-over lateral raises
39.59,Male,63.49,1.71,178.54,124.58,56.26,1.88,2202.98,Strength,23.0468712,2.72,4.02,3.02,21.71,2.01,0.04,164.75,66.31,44.87,1906,Amount Rice,Dinner,Balanced,19.22,1387.17,65.75,352.16,Roasted,56.29,75.36,1.97,0,Jumping Jacks,4,22.96,Improves hip power and cardiovascular fitness,341.35,"Lower Abs, Hip Flexors",Bench or Step,Beginner,Back,Triceps,Pull-ups
32.91,Male,54.33,1.66,191,128.86,72.06,1.25,1102,Cardio,24.28801315,2.49,2.97,1.02,19.72,3.02,-0.01,245.76,98.01,66.1,1518,Read Stew,Dinner,Keto,2.01,111.62,203.76,142.5,Baked,10.64,44.2,4.8,0,Frog Jumps,4,23.88,Improves coordination and cardiovascular health,351.87,"Upper Chest, Triceps",None or Dumbbells,Advanced,Abs,Upper,Romanian deadlifts
28.33,Female,52.29,1.61,167.88,163.61,70.06,1.31,1413.62,Strength,23.84075687,2,3.02,1.99,20.17,3.02,0.01,239.45,96.66,64.14,1462,Join Soup,Lunch,Low-Carb,0.83,1470.71,204.89,358.8,Raw,58.53,30.27,1.37,0.01,Dragon Flags,5.02,18.89,Improves balance and leg strength,366.03,Core,Dumbbells,Advanced,Abs,Upper,Incline cable crossovers
39.81,Male,106.66,1.65,161.95,162.17,74.04,1.31,1413.62,Strength,35,3.61,4.02,1.99,39.18,3.02,-0.04,245.63,98.07,65.44,2686,Sound Wrap,Dinner,Vegan,44.46,1412.31,176.57,347.32,Fried,14.46,96.74,4.12,0,Plank,5.01,17.08,Improves coordination and cardiovascular health,353.87,"Chest, Triceps, Shoulders",None or Dumbbell,Beginner,Abs,Lats,Seated calf raises
22.1,Female,48.42,1.76,165.03,166.7,66.07,1.36,1798.19,HIIT,19.05085228,2.22,3.99,2.02,15.63,3.01,0,308.88,123.61,82.63,1328,To Sandwich,Lunch,Paleo,44,237.85,108.62,296.95,Baked,21.23,77.71,2.8,0.01,Lateral Raises,4,21.03,Strengthens lower abs,327.08,"Back, Biceps",Cable Machine,Advanced,Forearms,Middle,Leg extensions
49.95,Male,96.36,1.72,187.8,125.47,61.89,1.47,1412.38,Cardio,31.83004047,2.68,3.03,2.01,32.57,3.01,-0.02,301.72,120.97,80.42,2407,Nearly Curry,Breakfast,Paleo,0.4,414.03,261.6,255.09,Roasted,46.06,17.83,4.4,0,Jumping Jacks,5,19.95,Builds upper body strength,355.89,"Upper Back, Rear Deltoids",Dumbbells,Intermediate,Forearms,Wrist Flexors,Hammer curls
27.16,Male,102.82,1.83,199.29,123.12,57.94,1.41,1016.05,Yoga,33.26841369,3.5,3.02,2.01,30.7,2.98,0,160.96,64.51,43.65,2887,Grow Curry,Lunch,Balanced,43.7,2402.91,228.45,499.02,Baked,31.87,26.07,4.93,-0.01,Dead Bugs,5.01,17.11,Targets biceps and forearms,345.02,Calves,Resistance Band,Beginner,Legs,Posterior,Close-grip bench press
56.21,Male,48.24,1.87,165.11,156.01,51.18,0.67,661.49,Strength,16.65844713,3.3,2.99,1,13.8,2.99,0.05,219.58,87.66,58.78,1449,Article Curry,Breakfast,Keto,24.01,1448.08,250.7,394.17,Raw,55.51,56.53,3.19,0,Bird Dogs,4.02,20.13,Improves core stability,336.26,"Shoulders, Upper Back",None or Dumbbells,Advanced,Forearms,Anterior,Bent-over lateral raises
18.21,Male,68.03,1.8,173.85,153.25,49.96,1.1,1052.48,Cardio,23.86730947,3.3,3.99,1.96,21,3,-0.01,297.52,117.76,79.29,1674,Them Rice,Lunch,Paleo,47,186.66,63.74,186.61,Boiled,41.28,83.1,4.71,0.01,Face Pulls,5.02,18.09,Advanced core exercise,339.66,"Legs, Core",Barbell,Advanced,Abs,Posterior,Seated cable rows
52.32,Female,70.4,1.72,193.96,142.6,65.94,1.32,1423.22,Strength,27.89003363,2.61,2.98,1.98,23.8,3,0.03,230.7,92.43,61.19,1828,Free Soup,Dinner,Vegetarian,19.44,335.58,239.56,154.29,Fried,22.84,93.58,1.28,0,Jumping Jacks,4.99,19.01,Targets obliques and improves core rotation,335.69,"Glutes, Hamstrings, Core",Pull-up Bar,Beginner,Back,Wrist Flexors,Preacher curls
52.97,Male,44.1,1.79,164.25,159.89,72.31,1.33,1435.2,Strength,16.07168878,2.11,3,1.99,13.76,2.98,0.02,226.87,89.9,60.25,1286,Price Rice,Lunch,Balanced,37.29,1311.46,186.26,295.43,Roasted,53.63,80.97,3.67,0,Bear Crawls,4.99,22.98,Builds back strength,362.33,Triceps,Cable Machine,Intermediate,Arms,Wrist Flexors,Triceps pushdowns
42.83,Male,110.13,1.76,160.22,122.33,50.02,1.08,1305.61,HIIT,34.39940299,3.37,2.98,1,35.55,1.99,4,283.13,113.3,75.61,3138,Result Salad,Breakfast,Paleo,20.93,1443.9,-1.13,428.9,Grilled,25.02,38.51,3.69,0,Thrusters,5,21.04,Strengthens lower body,373.95,"Upper Chest, Triceps",Bench or Sturdy Surface,Intermediate,Abs,Wrist Flexors,Overhead triceps extensions
57.16,Female,76.04,1.62,161.38,130.39,60.2,0.68,675.04,Strength,31.74550186,2.29,2.99,1.03,28.97,3.01,-0.02,182.79,72.31,48.13,1969,Skill Rice,Dinner,Paleo,27.47,1129.77,179.55,489.33,Raw,24.12,116.72,3.89,0.01,Resistance Band Pull-Aparts,4,17.97,Targets biceps and forearms,336.82,"Core, Shoulders, Legs",None or Dumbbell,Advanced,Arms,Triceps,Incline dumbbell flyes
46.98,Female,88.59,1.6,185.88,126.2,60.17,1.86,1931.42,Cardio,32.21255617,3.5,5,2.98,34.61,2.99,1,311.71,124.87,82.93,2613,Support Stew,Snack,Keto,17.28,611.2,75.19,211.67,Grilled,53.92,84.58,1.28,0,Plyo Squats,4.99,16.07,Builds unilateral leg strength,344.05,Quadriceps,Pull-up Bar,Beginner,Forearms,Lats,Plate pinch
56.08,Male,40.96,1.8,195.9,164.79,72.21,1.23,1180.8,Cardio,11.92723409,2.11,3.97,2,12.64,4,0,221.51,88.44,59.14,1282,Without Pasta,Snack,Low-Carb,44.34,195.32,297.35,127.88,Baked,43.62,48.02,1.63,-0.01,Tricep Extensions,5,24.93,Builds chest strength,348.28,"Legs, Shoulders, Core",Dumbbells,Beginner,Chest,Lower Chest,Barbell squats
55.32,Female,77.06,1.72,173.11,130.07,56.89,1.04,999.23,Cardio,24.70449323,1.99,3.98,2.01,26.05,3,-0.01,309.09,123.66,82.3,2202,Despite Stew,Breakfast,Paleo,13.53,1115.88,30.94,141.51,Boiled,42.2,97.99,3.11,0,Inverted Rows,4.99,16.98,Strengthens core and improves mobility,367.38,"Triceps, Chest",Low Bar or TRX,Intermediate,Abs,Lower,Decline cable crossovers
30.37,Male,67.73,1.75,179.54,167.97,67.07,1.25,825,Yoga,24.89399633,3.11,1.99,1,22.12,2.01,-0.02,204.19,81.86,54.24,1641,Decision Soup,Snack,Vegan,41.99,1891.74,224.69,416.54,Roasted,44.45,28.63,2.29,0,Dead Bugs,3.99,21.02,Isolates and strengthens triceps,359.34,Full Core,Cable Machine or Resistance Band,Intermediate,Forearms,Wrist Extensors,Leg curls
41.98,Female,46.04,1.77,184.43,139.15,62.86,0.61,403.33,Yoga,19.94342883,2.6,1.98,1.02,14.7,2.99,-0.03,307.22,123.7,82.31,1293,Community Stew,Snack,Vegetarian,45.9,89.15,11.79,290.56,Raw,58.04,16.78,3.42,0,Leg Press,5,14.99,Targets lower chest,327.05,"Biceps, Forearms",Box or Platform,Beginner,Back,Quads,Close-grip bench press
48.9,Male,46.29,1.72,168.78,119.86,72.03,1.4,1851.08,HIIT,20.74524002,2.6,3.99,2.02,15.65,2.01,-0.01,284.33,114.12,75.59,1625,Story Curry,Snack,Paleo,3.29,859.68,171.17,150.43,Roasted,9.44,29.72,4.09,1,Turkish Get-ups,4.99,25.02,Isolates triceps,356.79,"Glutes, Hamstrings, Core",Kettlebell,Beginner,Back,Anterior,Seated calf raises
54.54,Male,74.92,1.71,173.19,129.48,56.74,1.03,1114.25,Strength,29.54393432,2.01,3.99,2.02,25.62,3.01,0,308.25,123.38,81.93,2239,Story Curry,Dinner,Vegan,13.82,1073.83,32.07,138.8,Raw,42,97.9,3.1,0.01,Superman,5.01,17.05,Improves shoulder health and posture,367.79,"Lower Back, Glutes",Dumbbells or Barbell,Intermediate,Abs,Lower Chest,Chest flyes
33.07,Male,78.59,1.66,160.89,155.79,68.97,1.29,928.8,Yoga,31.96700314,1.91,4.03,2,28.52,3,0,177.76,71.33,47.11,2215,Police Wrap,Lunch,Vegetarian,37.11,1845.43,86.8,483.24,Grilled,25.42,52.07,1.21,0.01,Step-ups,4.03,17.04,Improves back strength and posture,343.71,"Back, Hamstrings, Glutes","Bench, Barbell",Intermediate,Shoulders,Lats,Barbell rows
26.01,Male,73.74,1.66,176.7,125.05,71.94,0.93,919.86,Strength,24.32667978,2.17,2,1,26.76,2.98,0.01,207.64,82.43,54.95,2073,Sing Salad,Lunch,Balanced,9.43,1031.99,296.65,344.53,Roasted,57.53,61.42,1.21,1.01,Decline Push-ups,3.99,14.86,Targets lower chest,335.31,"Lower Back, Glutes",None or Dumbbell,Beginner,Abs,Triceps,Face pulls
18.17,Male,83,1.96,183.06,150.49,67.1,1.82,2602.6,HIIT,23.62778117,3.5,4.04,3,21.61,2.99,0.01,195.98,78.73,52.05,2207,Spend Curry,Breakfast,Balanced,28.56,703.12,32.51,327.74,Roasted,54.69,61.37,2.82,0,Bear Crawls,4.99,15.99,Strengthens lower body,335.03,"Lower Abs, Hip Flexors",Wall,Intermediate,Arms,Grip Strength,Leg curls
31.93,Male,56.23,1.57,170.75,166.72,72.12,1.65,2357.68,HIIT,25.22034885,2.69,3.98,2.99,22.81,4.03,0.02,293.95,116.63,77.71,1643,Firm Sandwich,Breakfast,Low-Carb,44.44,244.41,63.24,469.06,Steamed,21.17,82.35,3.88,0.01,Calf Raises,4.03,18.13,Targets upper chest,364.04,"Chest, Triceps, Shoulders",Low Bar or TRX,Advanced,Chest,Wrist Flexors,Decline dumbbell flyes
57.02,Male,75.6,1.63,160.75,130.9,60.08,0.69,455.81,Yoga,31.97686462,2.28,3,1.01,28.45,3,-0.02,182.59,73.03,48.37,2098,White Rice,Snack,Balanced,28.17,1093.42,173.14,486.62,Baked,23.91,117.66,3.89,0,Glute Bridges,3.99,17.98,Improves core stability,335.54,"Chest, Triceps",None or Dumbbells,Beginner,Legs,Triceps,Bent-over lateral raises
45.75,Male,109.11,1.64,184.69,168.91,62.66,1.39,1223.2,Cardio,35,3.4,2.99,1,40.57,3.99,-0.01,257.87,103.21,69.51,2888,Spend Curry,Breakfast,Keto,30.86,133.98,0.63,241.56,Roasted,19.18,76.75,1.59,-0.01,Bicep Curls,3.98,18.8,Activates and strengthens glutes,362.27,Lower Abs,Parallel Bars or Chair,Beginner,Shoulders,Lateral,Bent-over rows
